code	name	level	category	parent	apqcCategories	description
EXEC	Executive & Strategy	Category	Executive & Strategy		01	Executive leadership, corporate strategy, and enterprise governance
CEO	Office of the CEO	Department	Executive & Strategy	Executive & Strategy	01	Executive leadership and corporate governance
STRAT	Strategy & Planning	Department	Executive & Strategy	Executive & Strategy	01	Strategic planning, competitive analysis, and long-term vision
CCOMM	Corporate Communications	Department	Executive & Strategy	Executive & Strategy	01	Internal/external communications, media relations, brand voice
PMO	Project Management Office	Department	Executive & Strategy	Executive & Strategy	01	Enterprise project governance, methodology, and portfolio management
PROD	Product & Engineering	Category	Product & Engineering		02	Product development, engineering, design, and technical innovation
PM	Product Management	Department	Product & Engineering	Product & Engineering	02	Product strategy, roadmaps, requirements, and lifecycle management
ENG	Engineering	Department	Product & Engineering	Product & Engineering	02	Software/hardware development, architecture, and technical implementation
DES	Design	Department	Product & Engineering	Product & Engineering	02	UX/UI design, user research, design systems, and prototyping
QA	Quality Assurance	Department	Product & Engineering	Product & Engineering	02	Testing, quality standards, and release validation
DEVOP	DevOps & Platform	Department	Product & Engineering	Product & Engineering	02	CI/CD, infrastructure, observability, and developer experience
RND	Research & Development	Department	Product & Engineering	Product & Engineering	02	Innovation, applied research, and experimental prototyping
MKT	Marketing	Category	Marketing		03	Brand, content, demand generation, and marketing operations
BRAND	Brand Marketing	Department	Marketing	Marketing	03	Brand strategy, creative campaigns, and brand identity management
CONT	Content Marketing	Department	Marketing	Marketing	03	Content strategy, creation, SEO, and editorial operations
DEMGN	Demand Generation	Department	Marketing	Marketing	03	Lead generation, paid media, growth marketing, and conversion optimization
PMKT	Product Marketing	Department	Marketing	Marketing	03	Positioning, messaging, competitive intelligence, and go-to-market
MOPS	Marketing Operations	Department	Marketing	Marketing	03	Marketing analytics, automation, attribution, and tech stack management
PR	Public Relations	Department	Marketing	Marketing	03	Media relations, analyst relations, crisis communications, and thought leadership
SALES	Sales & Revenue	Category	Sales & Revenue		03	Sales execution, pipeline management, and revenue growth
BDR	Business Development	Department	Sales & Revenue	Sales & Revenue	03	New market identification, strategic partnerships, and outbound prospecting
ISR	Inside Sales	Department	Sales & Revenue	Sales & Revenue	03	Inbound lead qualification, demo delivery, and SMB deal closure
ENT	Enterprise Sales	Department	Sales & Revenue	Sales & Revenue	03	Complex deal management, executive relationships, and strategic account growth
SOPS	Sales Operations	Department	Sales & Revenue	Sales & Revenue	03	Pipeline management, forecasting, territory planning, and CRM administration
CHAN	Channel & Partnerships	Department	Sales & Revenue	Sales & Revenue	03	Partner program management, channel enablement, and co-selling
REVOP	Revenue Operations	Department	Sales & Revenue	Sales & Revenue	03,09	Cross-functional revenue alignment, data infrastructure, and process optimization
SCM	Supply Chain & Logistics	Category	Supply Chain & Logistics		04	Procurement, planning, logistics, and manufacturing operations
PROC	Procurement	Department	Supply Chain & Logistics	Supply Chain & Logistics	04	Strategic sourcing, vendor management, and purchase order processing
SCP	Supply Chain Planning	Department	Supply Chain & Logistics	Supply Chain & Logistics	04	Demand planning, inventory optimization, and supply network design
LOG	Logistics & Distribution	Department	Supply Chain & Logistics	Supply Chain & Logistics	04	Warehousing, shipping, freight management, and last-mile delivery
MFG	Manufacturing	Department	Supply Chain & Logistics	Supply Chain & Logistics	04	Production planning, shop floor operations, and manufacturing engineering
SVCDL	Service Delivery	Category	Service Delivery		05	Professional services, service operations, and client enablement
PSVC	Professional Services	Department	Service Delivery	Service Delivery	05	Client implementation, consulting engagements, and solution delivery
SVOPS	Service Operations	Department	Service Delivery	Service Delivery	05	Service scheduling, dispatch, resource allocation, and SLA management
TRAIN	Training & Enablement	Department	Service Delivery	Service Delivery	05	Customer training programs, certification, and knowledge base management
CUST	Customer Success	Category	Customer Success		06	Customer support, success management, and experience optimization
CSUP	Customer Support	Department	Customer Success	Customer Success	06	Ticket resolution, live chat, phone support, and escalation management
CSM	Customer Success Management	Department	Customer Success	Customer Success	06	Account health monitoring, renewal management, and expansion revenue
TSUP	Technical Support	Department	Customer Success	Customer Success	06	Advanced troubleshooting, bug reproduction, and engineering escalation
CX	Customer Experience	Department	Customer Success	Customer Success	06	Voice of customer, NPS programs, journey mapping, and experience optimization
